epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.195,1.65692,1.66594,1.12852,0.78178,0.62005,0.71407,0.49717,1.27768,1.10301,0.96231,0.000552417,0.000552417,0.000552417
2,213.343,1.37132,0.9869,1.01252,0.81772,0.70678,0.78334,0.57071,1.16523,0.82305,0.93313,0.00101667,0.00101667,0.00101667
3,337.761,1.31785,0.93644,0.99897,0.81314,0.69541,0.77141,0.55369,1.18566,0.87152,0.93481,0.00138923,0.00138923,0.00138923
4,428.817,1.3018,0.89753,0.99392,0.83652,0.70832,0.79196,0.57812,1.13806,0.77587,0.92439,0.00125442,0.00125442,0.00125442
5,503.625,1.26669,0.85055,0.98643,0.84861,0.72997,0.80969,0.60442,1.10746,0.74002,0.92197,0.00111689,0.00111689,0.00111689
6,591.911,1.24791,0.82345,0.97833,0.85858,0.70898,0.80761,0.60628,1.09337,0.73694,0.9137,0.000979362,0.000979362,0.000979362
7,688.284,1.23338,0.80939,0.97158,0.85681,0.74043,0.81992,0.61859,1.09853,0.7142,0.91352,0.000841835,0.000841835,0.000841835
8,923.494,1.21091,0.78094,0.96764,0.85644,0.7551,0.82529,0.61754,1.10381,0.71934,0.91241,0.000704307,0.000704307,0.000704307
9,1028.46,1.20209,0.77404,0.964,0.85499,0.76617,0.83412,0.63333,1.07572,0.68676,0.90625,0.00056678,0.00056678,0.00056678
10,1128.59,1.19149,0.75983,0.96109,0.86539,0.75637,0.83312,0.63873,1.05321,0.67405,0.90163,0.000429253,0.000429253,0.000429253
11,1426.85,1.17546,0.73684,0.9562,0.87867,0.75187,0.83767,0.64479,nan,nan,nan,0.000291725,0.000291725,0.000291725
12,1524.44,1.16242,0.72656,0.95048,0.88453,0.7591,0.844,0.65439,1.02409,0.64406,0.8959,0.000154198,0.000154198,0.000154198
